PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetTopRentedMovies.sql,CREATE PROCEDURE,N/A,[dbo],[GetTopRentedMovies],[dbo].[GetTopRentedMovies],N/A,sakila,film,sakila.film,9
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetTopRentedMovies.sql,CREATE PROCEDURE,N/A,[dbo],[GetTopRentedMovies],[dbo].[GetTopRentedMovies],N/A,sakila,inventory,sakila.inventory,8
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetTopRentedMovies.sql,CREATE PROCEDURE,N/A,[dbo],[GetTopRentedMovies],[dbo].[GetTopRentedMovies],N/A,sakila,rental,sakila.rental,7
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetStoreRevenue.sql,CREATE PROCEDURE,N/A,[dbo],[GetStoreRevenue](INT),[dbo].[GetStoreRevenue](INT),N/A,sakila,store,sakila.store,11
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetStoreRevenue.sql,CREATE PROCEDURE,N/A,[dbo],[GetStoreRevenue](INT),[dbo].[GetStoreRevenue](INT),N/A,sakila,staff,sakila.staff,10
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetStoreRevenue.sql,CREATE PROCEDURE,N/A,[dbo],[GetStoreRevenue](INT),[dbo].[GetStoreRevenue](INT),N/A,sakila,rental,sakila.rental,9
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetStoreRevenue.sql,CREATE PROCEDURE,N/A,[dbo],[GetStoreRevenue](INT),[dbo].[GetStoreRevenue](INT),N/A,sakila,payment,sakila.payment,8
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_AddRental.sql,CREATE PROCEDURE,N/A,[dbo],"[AddRental](INT,INT,INT)","[dbo].[AddRental](INT,INT,INT)",N/A,sakila,rental,sakila.rental,13
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetCustomerRentals.sql,CREATE PROCEDURE,N/A,[dbo],[GetCustomerRentals](INT),[dbo].[GetCustomerRentals](INT),N/A,sakila,film,sakila.film,10
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetCustomerRentals.sql,CREATE PROCEDURE,N/A,[dbo],[GetCustomerRentals](INT),[dbo].[GetCustomerRentals](INT),N/A,sakila,inventory,sakila.inventory,9
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetCustomerRentals.sql,CREATE PROCEDURE,N/A,[dbo],[GetCustomerRentals](INT),[dbo].[GetCustomerRentals](INT),N/A,sakila,rental,sakila.rental,8
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetInactiveCustomers.sql,CREATE PROCEDURE,N/A,[dbo],[GetInactiveCustomers],[dbo].[GetInactiveCustomers],N/A,sakila,rental,sakila.rental,8
74e8eb53-f761-42b6-903e-e4cc419bda17,dbo_GetInactiveCustomers.sql,CREATE PROCEDURE,N/A,[dbo],[GetInactiveCustomers],[dbo].[GetInactiveCustomers],N/A,sakila,customer,sakila.customer,7
